FC Levy;24;292;1951;84000000.0
FC Hood;109;128;1914;970000000.0
FC Little;182;15;1855;211000000.0
FC Hancock;54;929;1963;413000000.0
FC Bernard;174;571;1981;596000000.0
FC Abbott;108;326;1907;717000000.0
FC Parker;67;368;1899;109000000.0
FC Lawson;175;22;1855;865000000.0
FC Gomez;162;823;1918;806000000.0
FC Contreras;181;89;1958;369000000.0
FC Marks;109;813;2003;883000000.0
FC Stephenson;99;390;1976;684000000.0
FC Wolfe;35;682;1850;191000000.0
FC Jones;161;251;1852;860000000.0
FC Rodriguez;24;645;1912;759000000.0
FC Woods;141;837;1985;399000000.0
FC Black;20;907;1997;505000000.0
FC Carter;165;453;1887;281000000.0
FC Flores;94;752;1991;982000000.0
FC Fox;54;873;1893;944000000.0
FC Neal;135;204;1919;829000000.0
FC Bradley;121;823;1952;330000000.0
FC Castillo;194;948;1898;226000000.0
FC Johnson;30;452;1983;814000000.0
FC Sanchez;152;109;1981;728000000.0
FC Payne;162;511;2005;533000000.0
FC Faulkner;194;575;1903;154000000.0
FC Snyder;61;984;1965;732000000.0
FC Bishop;58;45;1924;396000000.0
FC Collins;61;452;1956;942000000.0
FC Compton;114;923;2017;364000000.0
FC Robbins;135;449;1946;750000000.0
FC Taylor;199;612;1899;607000000.0
FC Ramirez;113;988;1940;492000000.0
FC Jackson;128;262;1987;263000000.0
FC Miller;132;825;2001;630000000.0
FC Ortega;27;877;1850;851000000.0
FC Jones;75;333;1863;898000000.0
FC Christian;57;576;1927;157000000.0
FC Chase;47;277;1928;625000000.0
FC Boyd;88;806;1974;342000000.0
FC Sanders;180;152;1934;518000000.0
FC Jones;127;484;1916;419000000.0
FC Cervantes;136;711;1886;223000000.0
FC Davis;71;310;1970;203000000.0
FC Cox;53;245;1878;877000000.0
FC Craig;157;357;1952;668000000.0
FC Anderson;157;454;1949;941000000.0
FC Webb;159;850;1868;345000000.0
FC Davis;195;827;1893;253000000.0
FC Rosales;62;953;1855;557000000.0
FC Carter;191;728;1892;172000000.0
FC Barnett;83;368;1913;749000000.0
FC Johnson;183;30;1911;260000000.0
FC Hernandez;118;30;1905;273000000.0
FC Gonzalez;143;547;1874;338000000.0
FC Morrison;55;52;1912;100000000.0
FC Mcdaniel;163;240;1876;624000000.0
FC Bradley;14;972;2005;707000000.0
FC Randolph;158;623;1998;575000000.0
FC David;91;120;1958;750000000.0
FC Rosales;115;740;1905;155000000.0
FC Vaughn;97;816;1981;995000000.0
FC Hanson;80;231;2001;224000000.0
FC Moore;100;990;2022;753000000.0
FC Parsons;100;765;1920;702000000.0
FC Vargas;123;708;1891;795000000.0
FC Kennedy;96;616;1910;619000000.0
FC Cooper;143;435;1965;218000000.0
FC Chapman;110;891;1930;21000000.0
FC Jimenez;44;214;1883;662000000.0
FC Thompson;14;2;1877;395000000.0
FC King;146;300;1882;330000000.0
FC Frey;103;374;1964;244000000.0
FC Torres;24;988;1875;513000000.0
FC Miller;76;722;1985;273000000.0
FC Aguirre;200;978;1976;909000000.0
FC Kelly;177;837;1874;509000000.0
FC Watson;177;426;1951;362000000.0
FC Lewis;128;886;1990;806000000.0
FC Davis;36;465;1952;28000000.0
FC Lopez;76;604;1889;586000000.0
FC Graves;95;398;1874;586000000.0
FC Lynch;120;27;1917;530000000.0
FC Rhodes;12;814;1971;874000000.0
FC Wright;44;519;1852;885000000.0
FC Cruz;67;805;1964;541000000.0
FC Washington;81;82;2020;55000000.0
FC Lee;189;551;1869;211000000.0
FC Yang;108;56;1884;170000000.0
FC Holland;88;291;1930;769000000.0
FC Meza;179;615;1991;469000000.0
FC Wilkerson;63;833;2016;890000000.0
FC Campbell;164;767;2003;787000000.0
FC Valentine;58;630;1860;561000000.0
FC Villarreal;115;418;1976;466000000.0
FC Brooks;101;107;1972;184000000.0
FC Case;135;459;1943;904000000.0
FC Williams;94;101;1918;717000000.0
FC Watkins;114;379;1923;987000000.0
FC Lee;147;389;1966;377000000.0
FC Taylor;82;796;2009;597000000.0
FC Clark;179;466;2013;894000000.0
FC Grant;51;964;1923;652000000.0
FC Cruz;118;756;1946;100000000.0
FC Pena;5;477;1930;130000000.0
FC Thompson;141;366;1928;145000000.0
FC Newton;42;609;1976;560000000.0
FC Sosa;64;867;2021;976000000.0
FC Meza;158;379;1972;764000000.0
FC Mcbride;196;394;2003;106000000.0
FC Spence;65;517;1912;105000000.0
FC Perez;25;511;1855;423000000.0
