Christian league;58;81;1861
Miranda league;14;62;1939
Alexandria league;192;14;2019
Jamie league;95;78;1920
Austin league;108;41;1910
Anne league;48;87;1973
Alyssa league;21;60;2004
Tina league;133;63;1937
Joshua league;34;85;1882
Karen league;107;21;1853
Diana league;92;32;2012
Lindsey league;134;99;1858
Anthony league;60;28;2012
Samantha league;58;46;1952
Cheryl league;26;87;1914
Miranda league;180;20;1931
Jennifer league;156;25;1954
Gary league;140;20;1902
April league;127;39;1989
Alice league;106;61;2000
Jennifer league;81;74;2003
Jessica league;44;27;1979
Mia league;167;81;1902
Daniel league;179;80;1979
Justin league;65;49;1875
John league;37;50;1904
Brian league;66;52;1878
Robin league;181;71;1912
Bridget league;175;86;1990
Lacey league;47;91;1942
Eileen league;131;74;2021
Douglas league;63;42;1941
Christopher league;179;55;1940
Mathew league;97;25;2019
Maria league;177;7;1979
Erica league;139;89;2008
Matthew league;197;77;1997
Maria league;142;16;1915
Ms. league;148;82;1887
Peggy league;75;25;1963
Courtney league;96;9;1992
James league;131;8;2017
Julie league;140;29;1884
John league;32;10;1996
Kim league;170;28;1978
David league;117;27;1936
Raymond league;46;60;1980
Heather league;190;87;2005
Jennifer league;104;25;2020
Catherine league;200;61;1939
John league;130;48;1963
Caroline league;117;55;1903
Sharon league;57;68;1926
Lauren league;179;88;1861
Thomas league;62;52;1987
Justin league;17;27;1958
Diana league;164;48;1872
Cory league;29;91;2014
Michelle league;59;59;1872
Dale league;9;84;1978
Karen league;38;74;1926
Keith league;25;5;1902
Marc league;125;26;1955
Nicole league;50;18;1878
Glenda league;180;45;1897
Edward league;35;42;2001
Shelby league;151;75;1989
Cheryl league;176;66;1926
Sergio league;38;49;1925
Brian league;113;57;1973
Julia league;180;4;1972
Tony league;80;25;1917
Mark league;68;22;1929
William league;78;25;1869
Brian league;200;85;1992
Jennifer league;55;75;1975
Joel league;141;13;1953
Tyler league;81;23;1853
Theresa league;147;33;1939
Andrew league;113;24;1964
Debbie league;109;9;1891
David league;9;58;1944
David league;173;37;1983
Marcus league;124;6;1996
Tony league;66;15;1922
Tricia league;27;13;2011
Carrie league;30;2;1913
Bonnie league;149;60;1910
Jessica league;109;84;1862
Krystal league;155;9;1915
Marie league;194;54;1927
Rachel league;43;19;1953
Nicholas league;61;96;1929
Tommy league;108;31;1958
Juan league;139;7;1993
Laura league;134;60;1967
Justin league;48;59;1977
Cassidy league;194;14;1986
Mr. league;48;82;1954
Maria league;192;82;1899
Shannon league;169;81;1982
Felicia league;93;87;1960
Maria league;57;11;1911
Ricardo league;93;24;1874
Thomas league;159;3;1951
Elizabeth league;115;25;1922
Carol league;142;75;1959
David league;57;79;1851
Desiree league;183;72;1957
Denise league;120;36;1860
Cynthia league;147;9;1924
Zachary league;186;96;1886
Timothy league;184;99;2003
Gabriel league;138;45;2009
Jose league;30;91;1971
Jessica league;126;11;1950
Stephanie league;90;99;1935
Valerie league;168;21;1889
Tony league;69;3;1908
Anthony league;102;86;2001
John league;149;29;1898
Joshua league;39;85;1971
Scott league;8;98;2012
Timothy league;160;27;1941
Robert league;193;100;1990
Elizabeth league;187;68;1997
Anne league;154;24;1882
Kathleen league;95;47;1863
Gwendolyn league;109;23;1976
Robin league;191;85;1964
Kimberly league;114;51;1973
Brian league;44;14;2018
Chelsea league;18;89;1867
Philip league;188;86;1990
Rebecca league;29;34;1853
Larry league;85;40;1972
Ryan league;67;79;1976
Patrick league;121;34;1981
Brianna league;194;19;1872
Ashley league;88;66;1982
Christian league;184;94;1914
Edgar league;49;21;1954
Matthew league;146;36;1910
Valerie league;129;18;2013
Anthony league;190;25;1875
Melissa league;172;28;2009
Cathy league;20;43;1930
Jordan league;154;25;2009
Toni league;115;46;1894
Jeff league;10;45;1893
Briana league;126;38;1874
Christopher league;155;83;1905
Terry league;185;27;1990
Maria league;15;57;1869
Ashley league;13;40;1954
Susan league;159;21;1923
Greg league;85;69;1907
Larry league;6;12;1930
Ellen league;125;40;1865
Christy league;6;97;1938
Christopher league;28;43;1904
Jorge league;5;55;2010
David league;144;12;1973
Derrick league;196;4;1924
James league;165;61;1936
Adrian league;177;98;1866
Jennifer league;24;20;1955
Bruce league;37;39;1944
Elizabeth league;24;88;1885
Jeffrey league;30;61;2005
Kurt league;48;80;1850
Jesse league;119;54;1962
Deanna league;11;10;2015
Joshua league;13;97;1946
Phillip league;65;58;1928
Elizabeth league;3;26;1922
Michael league;86;79;1856
Amy league;52;87;1927
Amy league;87;31;1898
Monica league;134;92;1961
Adrian league;5;79;1851
Michael league;13;9;1915
Amanda league;107;85;1861
Sara league;125;36;1950
Kathleen league;110;38;1856
Richard league;42;94;2005
Bradley league;90;43;1933
Kathleen league;20;34;1905
Phillip league;52;10;2020
Susan league;123;18;1999
Caroline league;66;4;1869
Vicki league;195;31;2015
Karen league;7;65;1909
Kelly league;181;75;1873
Bailey league;173;10;1977
Ms. league;42;44;1986
Brittany league;5;22;1859
Stacey league;181;63;1863
Michael league;99;42;1876
Steven league;72;46;1895
Thomas league;113;90;1853
Nicole league;200;62;1908
Robert league;174;99;1994
John league;138;48;1966
James league;52;5;2013
Hector league;126;97;1852
Ariel league;14;4;1928
Joseph league;138;18;1861
Anthony league;75;10;1974
Charles league;57;28;1879
Stanley league;36;83;1943
Matthew league;84;52;1992
Mary league;34;11;1905
Erika league;14;14;1859
Mike league;75;63;1959
Ryan league;194;94;1987
Erika league;167;96;1873
Shelby league;132;77;1883
Joyce league;146;31;1859
Brian league;33;37;1968
Amanda league;115;39;1979
Glen league;13;24;1918
Christopher league;77;87;1868
Bianca league;17;10;1990
Jessica league;90;25;1941
Matthew league;144;33;1877
Logan league;126;13;1904
Sharon league;172;82;1861
Carol league;86;33;1875
Christopher league;117;40;1923
Beverly league;35;68;1950
Nathan league;187;53;1958
Kimberly league;18;45;1881
Timothy league;150;47;1889
Richard league;148;43;2020
Jason league;31;45;1903
Carol league;154;85;1884
Randy league;32;66;1909
Nicole league;86;8;2006
Shawn league;66;90;1881
Michael league;103;20;1953
Valerie league;54;97;1896
Rebecca league;85;64;1981
Alicia league;82;63;1993
Katrina league;16;97;1945
Paula league;2;83;1983
Nathan league;14;15;1977
Donald league;60;86;1892
Amy league;70;24;1983
Bryan league;68;51;1953
Kathleen league;46;76;1935
Scott league;43;39;1955
Brandi league;145;51;1976
Dale league;49;92;1969
Herbert league;39;81;1936
Mr. league;183;2;1990
David league;4;75;1903
Rachel league;122;69;1868
Nathan league;169;19;1964
Courtney league;148;71;1881
Sarah league;79;98;1963
Alice league;130;33;1888
James league;34;92;1937
Rebecca league;200;8;1866
Christopher league;22;97;1883
Catherine league;51;6;1893
Cassidy league;171;72;1927
Andrea league;3;12;1940
John league;64;71;2016
Ashley league;130;96;1993
Jerry league;182;81;2005
Tabitha league;133;43;1900
Shawn league;171;98;1947
Philip league;24;3;2018
Aaron league;162;23;1995
Randy league;34;22;1874
Rachel league;73;72;1996
Penny league;34;61;1916
Ashley league;124;85;1917
Frances league;78;83;1935
Jennifer league;61;55;2015
Jessica league;35;13;1937
Christopher league;39;9;2004
Ashley league;27;92;1936
Philip league;35;2;1910
Jackson league;95;39;1974
Bethany league;38;8;1958
Christian league;123;41;1856
Karen league;79;67;1948
Anthony league;189;54;1996
Justin league;11;25;1934
Diana league;152;47;1975
David league;81;87;1894
Carla league;113;41;1915
Cindy league;175;52;2006
Wanda league;30;26;1925
Dawn league;178;3;1892
Cynthia league;145;75;1891
Erika league;62;79;1893
Melissa league;25;57;1948
Wesley league;179;60;1900
Curtis league;192;49;1896
Jason league;130;15;1995
Allen league;83;78;2018
Luis league;12;74;1980
Michael league;83;86;1994
Maria league;185;14;1914
Ryan league;25;91;2007
Pamela league;97;3;1904
Tonya league;87;26;1895
Kimberly league;37;34;1999
Zachary league;194;43;1981
John league;159;15;2017
Annette league;165;47;1906
Darryl league;48;28;1897
Diana league;38;85;1897
Aaron league;116;37;1988
Austin league;8;17;1870
Eric league;18;70;1899
Anna league;45;58;1960
Kendra league;22;46;1955
Emily league;186;75;1873
Rebekah league;182;80;1984
David league;150;47;1994
Sarah league;2;33;1909
Adriana league;138;84;1885
Brittany league;130;96;1858
John league;189;92;1980
William league;110;83;2019
Evan league;168;54;1952
Jonathan league;32;84;1903
Jasmine league;144;12;1982
Teresa league;199;52;1867
Heather league;88;7;2007
Jeremy league;130;7;2020
Melissa league;136;80;1873
Dr. league;89;7;1859
Mark league;7;55;1961
Terry league;77;35;1978
Brad league;180;7;1903
Travis league;109;90;1854
Katherine league;6;78;1950
Kayla league;36;36;1934
Karen league;33;95;1879
Theresa league;80;5;2006
Robert league;111;97;1936
John league;177;72;1865
Laura league;143;11;1896
Kyle league;60;68;1883
Rhonda league;36;82;1859
Melissa league;79;5;1879
Paige league;74;96;1885
Jennifer league;144;86;1997
Christine league;175;14;2002
Richard league;66;97;1961
Dana league;192;26;1868
Jacqueline league;175;6;1961
Larry league;153;65;2007
Alan league;112;55;1979
Rebecca league;124;49;1875
Whitney league;68;20;1892
Jeremy league;100;56;1981
Joshua league;199;72;1908
Autumn league;169;78;1981
Jason league;5;31;1926
Raymond league;19;85;1900
Christopher league;161;59;1864
Todd league;77;20;1929
Kara league;106;92;1977
Amy league;72;75;1861
Caitlin league;178;28;1893
Cameron league;166;79;1908
David league;183;48;1863
David league;93;5;1962
Tony league;175;40;1886
Jeremiah league;133;37;1957
Caroline league;169;22;1887
Juan league;53;93;1941
Bobby league;7;13;1877
David league;26;26;2014
Shawn league;74;94;1935
Wendy league;168;3;1967
Elizabeth league;195;60;2013
Jose league;152;96;1873
Erik league;80;80;1916
Sydney league;162;7;1973
Martha league;18;4;2001
Kristen league;173;29;1970
Bradley league;140;82;1963
Mr. league;173;36;2019
Jacob league;106;49;1946
Justin league;117;32;2008
Terry league;40;26;1924
Latasha league;123;98;1941
Dennis league;138;73;1991
Angel league;139;35;1922
Chelsea league;59;42;1915
Richard league;92;55;1852
Michelle league;148;6;1863
Parker league;127;71;1909
